count,groom,bride
1,14,17
1,14,22
1,14,25
1,14,51
1,14,90
1,15,18
1,17,16
3,17,18
1,17,19
1,17,24
1,17,26
1,17,27
1,18,16
5,18,17
4,18,18
7,18,19
3,18,20
2,18,21
5,18,22
1,18,23
2,18,25
1,18,29
1,18,32
1,18,40
1,19,15
3,19,16
2,19,17
23,19,18
26,19,19
12,19,20
10,19,21
7,19,22
5,19,23
4,19,24
4,19,25
4,19,27
1,19,28
1,19,29
2,19,30
2,19,31
1,19,32
1,20,14
11,20,17
32,20,18
60,20,19
68,20,20
48,20,21
33,20,22
24,20,23
12,20,24
11,20,25
6,20,26
9,20,27
3,20,28
2,20,29
2,20,30
1,20,31
3,20,33
1,20,34
1,20,38
1,20,39
1,20,40
2,20,46
2,21,16
8,21,17
40,21,18
89,21,19
143,21,20
128,21,21
115,21,22
49,21,23
42,21,24
26,21,25
21,21,26
12,21,27
10,21,28
10,21,29
9,21,30
7,21,31
2,21,32
3,21,33
6,21,34
3,21,35
3,21,36
3,21,38
4,21,39
1,21,40
1,21,48
1,22,13
4,22,16
16,22,17
46,22,18
118,22,19
196,22,20
217,22,21
256,22,22
161,22,23
111,22,24
73,22,25
59,22,26
34,22,27
22,22,28
20,22,29
11,22,30
10,22,31
7,22,32
11,22,33
6,22,34
4,22,35
5,22,36
2,22,37
2,22,41
2,22,42
1,22,43
2,22,44
1,22,49
1,22,57
1,23,15
4,23,16
12,23,17
51,23,18
116,23,19
204,23,20
280,23,21
410,23,22
474,23,23
265,23,24
148,23,25
83,23,26
79,23,27
66,23,28
25,23,29
32,23,30
26,23,31
18,23,32
9,23,33
8,23,34
8,23,35
5,23,36
4,23,37
2,23,39
4,23,41
3,23,42
3,23,43
2,23,44
1,23,48
1,23,50
1,23,51
1,23,61
1,24,13
4,24,16
14,24,17
39,24,18
123,24,19
205,24,20
304,24,21
465,24,22
548,24,23
659,24,24
302,24,25
200,24,26
129,24,27
91,24,28
60,24,29
48,24,30
43,24,31
24,24,32
20,24,33
6,24,34
10,24,35
10,24,36
6,24,37
3,24,38
5,24,39
7,24,40
3,24,41
2,24,42
4,24,43
1,24,44
1,24,45
1,24,46
1,24,47
1,24,50
1,24,55
1,24,56
2,25,14
4,25,16
6,25,17
31,25,18
91,25,19
176,25,20
289,25,21
558,25,22
727,25,23
769,25,24
848,25,25
420,25,26
232,25,27
177,25,28
97,25,29
98,25,30
59,25,31
31,25,32
32,25,33
15,25,34
22,25,35
18,25,36
6,25,37
6,25,38
5,25,39
5,25,40
2,25,41
2,25,42
3,25,43
1,25,44
1,25,45
1,25,46
1,25,47
1,25,49
1,25,52
1,25,56
1,26,13
15,26,17
49,26,18
82,26,19
142,26,20
257,26,21
498,26,22
670,26,23
819,26,24
932,26,25
911,26,26
465,26,27
270,26,28
194,26,29
121,26,30
91,26,31
57,26,32
38,26,33
27,26,34
28,26,35
11,26,36
14,26,37
9,26,38
10,26,39
9,26,40
6,26,41
3,26,42
6,26,43
4,26,44
4,26,45
2,26,46
1,26,48
1,26,50
1,26,52
1,27,15
4,27,16
7,27,17
27,27,18
66,27,19
142,27,20
269,27,21
439,27,22
643,27,23
811,27,24
1005,27,25
999,27,26
930,27,27
517,27,28
312,27,29
199,27,30
137,27,31
81,27,32
66,27,33
51,27,34
20,27,35
27,27,36
18,27,37
18,27,38
13,27,39
15,27,40
8,27,41
6,27,42
4,27,43
6,27,44
1,27,45
1,27,46
2,27,47
2,27,49
1,27,50
2,27,56
1,28,14
4,28,16
9,28,17
30,28,18
53,28,19
111,28,20
223,28,21
381,28,22
575,28,23
776,28,24
956,28,25
1080,28,26
1067,28,27
922,28,28
505,28,29
339,28,30
219,28,31
123,28,32
100,28,33
66,28,34
55,28,35
40,28,36
38,28,37
28,28,38
15,28,39
16,28,40
8,28,41
8,28,42
12,28,43
5,28,44
4,28,45
1,28,46
2,28,49
1,28,50
1,28,51
1,28,55
1,28,62
1,29,14
1,29,15
2,29,17
17,29,18
43,29,19
96,29,20
171,29,21
291,29,22
461,29,23
671,29,24
856,29,25
967,29,26
1005,29,27
1005,29,28
845,29,29
492,29,30
314,29,31
187,29,32
119,29,33
101,29,34
78,29,35
34,29,36
35,29,37
34,29,38
21,29,39
18,29,40
13,29,41
9,29,42
6,29,43
2,29,44
4,29,45
5,29,46
4,29,47
2,29,48
1,29,58
2,30,17
14,30,18
30,30,19
79,30,20
143,30,21
260,30,22
394,30,23
537,30,24
723,30,25
860,30,26
956,30,27
1082,30,28
974,30,29
765,30,30
437,30,31
273,30,32
179,30,33
116,30,34
87,30,35
60,30,36
44,30,37
35,30,38
36,30,39
25,30,40
19,30,41
7,30,42
13,30,43
8,30,44
2,30,45
2,30,46
2,30,47
1,30,48
4,30,49
2,30,50
1,30,51
1,30,58
1,31,17
14,31,18
27,31,19
69,31,20
143,31,21
204,31,22
297,31,23
469,31,24
648,31,25
736,31,26
905,31,27
1000,31,28
895,31,29
828,31,30
714,31,31
381,31,32
257,31,33
169,31,34
108,31,35
67,31,36
62,31,37
51,31,38
38,31,39
24,31,40
25,31,41
21,31,42
7,31,43
8,31,44
7,31,45
3,31,46
8,31,47
1,31,48
3,31,49
1,31,50
2,31,52
1,31,53
1,31,54
1,31,63
1,32,16
4,32,17
8,32,18
24,32,19
45,32,20
85,32,21
152,32,22
241,32,23
321,32,24
414,32,25
594,32,26
745,32,27
877,32,28
919,32,29
813,32,30
729,32,31
490,32,32
330,32,33
193,32,34
143,32,35
93,32,36
72,32,37
51,32,38
34,32,39
34,32,40
35,32,41
18,32,42
19,32,43
7,32,44
12,32,45
7,32,46
3,32,47
1,32,48
2,32,49
5,32,50
1,32,51
2,32,53
2,32,56
2,33,17
8,33,18
22,33,19
45,33,20
75,33,21
122,33,22
188,33,23
285,33,24
368,33,25
445,33,26
591,33,27
704,33,28
705,33,29
789,33,30
736,33,31
568,33,32
452,33,33
280,33,34
180,33,35
128,33,36
82,33,37
58,33,38
38,33,39
25,33,40
33,33,41
25,33,42
24,33,43
12,33,44
18,33,45
5,33,46
9,33,47
3,33,48
3,33,49
1,33,50
1,33,51
2,33,52
1,33,54
1,33,55
1,33,56
1,33,64
7,34,18
14,34,19
23,34,20
61,34,21
69,34,22
139,34,23
193,34,24
